learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.045778024,5.5992794086535774E-11,10000.0,80.08999999999999,60.15350048396185,59.408766564729866,59.33415032679738,10000.0,4728.0
20000.0,0.085927833,1.0510151026770472E-10,20000.0,80.25999999999999,60.509280639136676,60.26969910435744,60.048573163327255,20000.0,4728.0
30000.0,0.126026173,1.541472728115817E-10,30000.0,79.21333333333334,58.41425359860416,58.37949676299806,57.90752615592306,30000.0,4728.0
40000.0,0.16846117,2.0605108694483836E-10,40000.0,80.14250000000001,60.27989517212753,60.36427145708584,59.99294852422686,40000.0,4728.0
50000.0,0.208534564,2.550663371135791E-10,50000.0,80.146,60.28563756850952,60.322155162076804,59.929765076289655,50000.0,4728.0
60000.0,0.24863386,3.0411326897641025E-10,60000.0,79.27,58.53623135806812,58.451362907536065,58.28274358544356,60000.0,4728.0
70000.0,0.288962143,3.534402833071848E-10,70000.0,78.77857142857142,57.55458760866758,57.4672164003894,57.368345530205204,70000.0,4728.0
80000.0,0.329053623,4.0247765513136986E-10,80000.0,78.27499999999999,56.547597869736975,56.37878673794643,56.34372409635526,80000.0,4728.0
90000.0,0.36920998,4.5159438041349255E-10,90000.0,77.89,55.777769976671095,55.573664352213626,55.5845721173162,90000.0,4728.0
100000.0,0.409578983,5.009712008821468E-10,100000.0,77.603,55.20455332209045,54.98180941086611,55.07301612773811,100000.0,4728.0
