learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.438188295,9.232007884110014E-10,10000.0,71.28,36.32348944439894,38.30290010741139,20.64106106659298,10000.0,8144.0
20000.0,0.840190874,1.770163388989038E-9,20000.0,71.045,35.88764654920434,37.72448650392516,19.36786410470621,20000.0,8144.0
30000.0,1.260037595,2.6547210740339424E-9,30000.0,68.98333333333333,35.15987241079537,34.57779652675243,19.07991999304286,30000.0,8144.0
40000.0,1.722845393,3.6297916746677623E-9,40000.0,69.25,36.14449825150138,35.9575132771009,21.95431472081219,40000.0,8144.0
50000.0,2.124004318,4.47497681553993E-9,50000.0,69.46,36.70539897773723,36.814664625315515,23.90491852294813,50000.0,8144.0
60000.0,2.563969906,5.401922109035982E-9,60000.0,64.21333333333334,28.154287356263115,24.41565756125036,6.963039993067302,60000.0,8144.0
70000.0,2.957422424,6.23087093985743E-9,70000.0,64.10571428571428,28.096083713351856,22.84828200325484,3.461789679947766,70000.0,8144.0
80000.0,3.39886851,7.1609354333331185E-9,80000.0,64.8525,29.150559199079506,23.448857912934578,2.967768652080899,80000.0,8144.0
90000.0,3.806393054,8.019532033494776E-9,90000.0,63.69777777777777,28.063292465835872,21.567121183022838,1.8740989908697776,90000.0,8144.0
100000.0,4.225353171,8.902221769255896E-9,100000.0,63.690000000000005,28.33415971422324,22.146701258603315,3.3202864978565865,100000.0,8144.0
