learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,75.157673554,8.586180665800969E-8,10000.0,87.96000000000001,69.21677714281273,71.61046922895545,60.01328462304885,10000.0,4416.0
20000.0,387.356753466,4.425250157573819E-7,20000.0,88.11,69.381472131352,71.68710560781045,60.09397549924485,20000.0,4416.0
30000.0,953.410781294,1.0891977930944165E-6,30000.0,88.22333333333333,69.63847110443537,71.88221249502585,60.352373470990905,30000.0,4416.0
40000.0,1764.952605363,2.0163213175211847E-6,40000.0,88.3325,69.86096093434199,72.06058429118775,60.56944913822239,40000.0,4416.0
50000.0,2815.598030526,3.2166021417626743E-6,50000.0,88.302,69.71460736034891,71.85680604340087,60.36188669015995,50000.0,4416.0
60000.0,4239.626739778,4.843444377923708E-6,60000.0,84.29333333333334,62.411591206967664,63.34072431633406,50.58983903947988,60000.0,4416.0
70000.0,5865.9689391,6.7014140685051684E-6,70000.0,80.01428571428572,55.62801229238449,54.41363354948028,40.04200060000858,70000.0,4416.0
80000.0,7849.706639407,8.967680370130192E-6,80000.0,78.75875,54.32832208979923,52.33513786429553,38.522484714735356,80000.0,4416.0
90000.0,10003.658216399,1.1428402810155204E-5,90000.0,78.23666666666666,54.064899676305636,51.631065563649834,38.52744562658882,90000.0,4416.0
100000.0,12327.642385801,1.4083374285371255E-5,100000.0,77.897,53.91758023519293,51.2311901504788,38.667517620289715,100000.0,4416.0
