learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.423576165,5.42637470147262E-10,10000.0,76.92999999999999,53.830425617433505,52.96636085626911,52.879901960784316,10000.0,4952.0
20000.0,0.788189015,1.0097378663822182E-9,20000.0,75.18,50.344793589588875,50.045285297373454,49.76725359239021,20000.0,4952.0
30000.0,1.187020082,1.5206747393599815E-9,30000.0,74.86,49.70384152081926,49.66295134485751,49.092136348295654,30000.0,4952.0
40000.0,1.611716318,2.0647471167188553E-9,40000.0,76.755,53.50340492295427,53.60279441117763,53.168127329505374,40000.0,4952.0
50000.0,1.991383985,2.551134027364767E-9,50000.0,77.872,55.7363217744984,55.77760901714696,55.340276095906994,50000.0,4952.0
60000.0,2.380764497,3.0499639271924063E-9,60000.0,77.66,55.31555702583507,55.224478888295025,55.042763709542164,60000.0,4952.0
70000.0,2.771354898,3.550343798808753E-9,70000.0,77.68714285714286,55.371208841480744,55.27973429536735,55.175778447409954,70000.0,4952.0
80000.0,3.182446461,4.07698742084826E-9,80000.0,77.62125,55.23977969761113,55.066134578219504,55.03001682951947,80000.0,4952.0
90000.0,3.565714051,4.5679861422400504E-9,90000.0,77.49888888888889,54.995203370062995,54.78779219039538,54.798892906566664,90000.0,4952.0
100000.0,3.957938421,5.0704592685711875E-9,100000.0,77.288,54.57440298137073,54.34865630841591,54.441145791542965,100000.0,4952.0
