learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,27.16257538,2.0058479670204552E-4,1000.0,74.6,2.0930501484022837,-296.87500000000034,1.1673151750972772,1000.0,2.854496E7
2000.0,56.896503785,4.2064071119606294E-4,2000.0,59.8,0.6367159693110868,-140.71856287425146,0.4950495049504955,2000.0,2.8607712E7
3000.0,85.740588438,6.344135174502106E-4,3000.0,54.06666666666666,13.819126066733256,-200.21786492374724,0.2894356005788634,3000.0,2.8648248E7
4000.0,114.470741867,8.474679980800281E-4,4000.0,58.175,25.17721773742705,-212.7102803738317,-2.1991447770311567,4000.0,2.8665208E7
5000.0,143.315504093,0.0010616484245356218,5000.0,62.519999999999996,33.500662793287276,-217.0896785109984,-1.9032082653616111,5000.0,2.87022E7
6000.0,172.280335366,0.0012768580327566146,6000.0,66.41666666666667,39.506081415107374,-206.69710806697097,-1.4091595369904164,6000.0,2.8720568E7
7000.0,201.42459624,0.0014935221666254376,7000.0,68.97142857142858,42.97324536019987,-189.98664886515357,4.695041684949557,7000.0,2.8736664E7
8000.0,230.756982756,0.001711652915259224,8000.0,72.0625,46.903108983328764,-194.46640316205523,4.446344591705861,8000.0,2.8745632E7
9000.0,260.278902411,0.001931323148135222,9000.0,74.21111111111112,48.97455190965469,-203.3986928104576,1.276052743513428,9000.0,2.8762656E7
9324.0,270.468077516,0.00200715269747844,9324.0,74.57099957099958,49.18455140029324,-203.1969309462915,0.6702974444909965,9324.0,2.876748E7
