learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,8.118730934,9.85756491010756E-7,10000.0,69.46,38.917263493404505,38.56366928183464,38.265615524560346,10000.0,469336.0
20000.0,16.437914907,1.9958515006820543E-6,20000.0,72.31,44.61944176397297,43.884892086330936,43.91330767672675,20000.0,469336.0
30000.0,24.609612329,2.9880390533669183E-6,30000.0,73.45666666666666,46.91303651822196,46.61079450217902,46.60005364806867,30000.0,469336.0
40000.0,32.897555592,3.994340892293105E-6,40000.0,73.7375,47.47452333129923,47.20574932153985,47.18717007691921,40000.0,469336.0
50000.0,41.328227253,5.017972464883805E-6,50000.0,74.11999999999999,48.23972173674406,48.01542664309817,47.87722548940626,50000.0,469336.0
60000.0,49.773888375,6.043424021237685E-6,60000.0,74.405,48.80983789782001,48.70227477703177,48.4595247684253,60000.0,469336.0
70000.0,58.277063953,7.075858842437986E-6,70000.0,74.71857142857142,49.437260245250485,49.287904404390055,49.24427108727449,70000.0,469336.0
80000.0,66.484915501,8.072436140844324E-6,80000.0,74.86749999999999,49.735017561328235,49.654447115384606,49.61281106683708,80000.0,469336.0
90000.0,74.557011089,9.052530281987379E-6,90000.0,75.03777777777778,50.07561630305257,50.018910320585555,49.966593915638505,90000.0,469336.0
100000.0,82.701991954,1.004147397554028E-5,100000.0,75.074,50.148053780279575,50.105090377724835,50.065108079411814,100000.0,469336.0
