learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,90.4004977,6.675862502144124E-4,1000.0,89.9,71.485036702428,-57.8125000000001,60.70038910505837,1000.0,2.8545584E7
2000.0,181.18755229,0.001339500967335116,2000.0,76.0,48.43588862151942,-43.71257485029936,40.594059405940605,2000.0,2.8608336E7
3000.0,273.061335339,0.002020422010585456,3000.0,81.0,62.06763761683612,-24.18300653594766,58.75542691751087,3000.0,2.8648872E7
4000.0,364.357837227,0.0026974651131918344,4000.0,82.19999999999999,63.3729123653202,-33.084112149532714,56.50580329871715,4000.0,2.8665832E7
5000.0,456.481650677,0.0033815250635245565,5000.0,83.72,65.00864982737315,-37.73265651438239,55.736813485590005,5000.0,2.8702824E7
6000.0,548.516936055,0.004065364988498596,6000.0,85.03333333333333,66.02456799557186,-36.68188736681877,54.806240563663835,6000.0,2.8721192E7
7000.0,639.742055928,0.00474356509314108,7000.0,85.3142857142857,66.0423319423399,-37.24966622162891,54.89249670908293,7000.0,2.8737288E7
8000.0,731.267304421,0.005424208802218319,8000.0,86.8,67.53731076592348,-39.13043478260864,54.85250106883284,8000.0,2.8746256E7
9000.0,822.16814756,0.006100609348679647,9000.0,88.2,68.86265826112638,-38.82352941176476,54.8277328796257,9000.0,2.876328E7
9324.0,851.099936711,0.006315929244383106,9324.0,88.36336336336336,68.8663295694255,-38.74680306905365,54.545454545454554,9324.0,2.8768104E7
