learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
10000.0,0.045811563,6.096403426801165E-11,10000.0,80.71000000000001,55.99217322283666,57.27574750830566,46.72742336371169,10000.0,5144.0
20000.0,0.085067924,1.1320469100442199E-10,20000.0,84.685,66.2011689650681,67.35933503836317,59.97124934657606,20000.0,5144.0
30000.0,0.124157619,1.6522355588153007E-10,30000.0,87.17,71.96521361545783,73.08015107007974,66.98404529078744,30000.0,5144.0
40000.0,0.162742275,2.1657033683732153E-10,40000.0,88.7325,75.53954847157048,76.35858161980697,71.28384835935012,40000.0,5144.0
50000.0,0.202795459,2.6987137094347013E-10,50000.0,90.116,78.6700404384267,79.27361181009897,74.94677075940382,50000.0,5144.0
60000.0,0.243125119,3.2354032727786237E-10,60000.0,91.04166666666667,80.73500966729759,81.2062937062937,77.35698036902855,60000.0,5144.0
70000.0,0.283668631,3.7749386854676736E-10,70000.0,91.64142857142858,82.10064764442994,82.50926700944638,79.00534644228354,70000.0,5144.0
80000.0,0.324017065,4.311878085032933E-10,80000.0,92.12875,83.18191701449066,83.5139805215206,80.28429193149442,80000.0,5144.0
90000.0,0.364250359,4.847285251588456E-10,90000.0,92.52,84.04972093816863,84.36454849498328,81.31193959414819,90000.0,5144.0
100000.0,0.411863515,5.480900409838391E-10,100000.0,92.879,84.84010982411169,85.14353667695903,82.23968075819927,100000.0,5144.0
