learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,3.409463601,2.098688257045843E-5,100.0,100.0,?,?,?,100.0,2.3793824E7
200.0,7.787552191,4.976769905869484E-5,200.0,98.0,49.23857868020313,0.0,33.33333333333333,200.0,2.5410952E7
300.0,11.829118902,7.635092358450107E-5,300.0,98.66666666666667,49.494949494949765,0.0,33.33333333333352,300.0,2.542496E7
400.0,15.755016536,1.0218022997373046E-4,400.0,99.0,49.622166246851144,0.0,33.33333333333333,400.0,2.5431744E7
500.0,19.770466104,1.2860420223725024E-4,500.0,98.8,39.6135265700486,0.0,25.0,500.0,2.5437024E7
600.0,23.616245914,1.5391793751818244E-4,600.0,98.66666666666667,32.960893854748576,0.0,20.0000000000004,600.0,2.5443344E7
700.0,27.481571608,1.793748473932465E-4,700.0,97.14285714285714,16.227860220201297,-66.66666666666688,9.090909090909188,700.0,2.5457864E7
800.0,31.352115377,2.0491183125163087E-4,800.0,93.25,68.09641970932293,-315.38461538461576,55.73770491803277,800.0,2.5503512E7
900.0,35.171217059,2.3012663459377638E-4,900.0,92.77777777777779,76.56475338909722,-132.1428571428572,67.66169154228858,900.0,2.5520944E7
1000.0,39.08401298,2.559697354797861E-4,1000.0,92.0,77.06777047131466,-25.000000000000043,68.87159533073932,1000.0,2.5530528E7
1100.0,43.052535952,2.8219096175465365E-4,1100.0,87.36363636363636,66.17256637168143,-44.791666666666636,57.230769230769226,1100.0,2.5540328E7
1200.0,46.752393767,3.066439815598982E-4,1200.0,85.75,61.98113137631272,-46.15384615384607,52.36768802228414,1200.0,2.5547584E7
1300.0,50.482982134,3.313047607318417E-4,1300.0,82.84615384615385,55.71720109492618,-78.4,46.77804295942721,1300.0,2.5552408E7
1400.0,54.048219687,3.548815172400078E-4,1400.0,80.64285714285714,51.83738962206187,-86.89655172413804,43.30543933054392,1400.0,2.5562184E7
1500.0,57.770049511,3.7949887212105997E-4,1500.0,78.33333333333333,47.22655235126007,-81.56424581005594,39.25233644859813,1500.0,2.556744E7
1600.0,61.525438438,4.043424877211848E-4,1600.0,76.1875,43.08739669652958,-70.85201793721973,35.85858585858585,1600.0,2.5571856E7
1700.0,65.258310752,4.2904049079991563E-4,1700.0,74.1764705882353,39.47420496533739,-82.91666666666656,32.771822358346114,1700.0,2.557532E7
1800.0,69.044552228,4.5410250303801175E-4,1800.0,73.38888888888889,38.04254096004599,-68.66197183098588,31.571428571428573,1800.0,2.5586448E7
1900.0,72.787081636,4.7887846680261064E-4,1900.0,71.73684210526315,35.55962014091871,-77.81456953642389,30.07812499999999,1900.0,2.5589848E7
2000.0,76.515293563,5.035629573731635E-4,2000.0,71.1,34.13135438698854,-73.05389221556885,28.465346534653463,2000.0,2.559328E7
2100.0,80.982597178,5.331474272902627E-4,2100.0,69.38095238095238,31.764156549791995,-73.31536388140168,27.097505668934236,2100.0,2.5598864E7
2200.0,84.880030358,5.589603414367385E-4,2200.0,68.36363636363636,30.960786700753417,-74.8743718592965,27.120418848167528,2200.0,2.5601224E7
2300.0,89.058877522,5.866400855661785E-4,2300.0,68.04347826086956,30.986478983637607,-80.5896805896806,27.58620689655172,2300.0,2.5604008E7
